id,codigo,nombre,bic
122,1536,OREY-FINANCIAL,OVSCPTP1
123,1538,INDUSTRIAL-COMMERCIAL-CHINA,ICBKESMM
124,1544,ANDBANK,BACAESMM
125,1545,CREDIT-ACRICOLE-LUXEMBURGO,AGRIESMM
126,1546,CNH-CAPITAL,CNCUFRP1
127,1549,MAINFIRST,MAIFDFF
128,2000,CECABANK,CECAESMM
129,2013,CATALUNYA-BANK,CESCESBB
130,2038,BANKIA,CAHMESMM
131,2045,CAIXA-DESTALVIS-ONTINENT,CECAESMM045
132,2048,LIBERBANK,CECAESMM048
133,2056,CAIXA-DESTALVIS-POLLENSA,CECAESMM056
134,2080,NGC-BANCO,CAGLESMMVIG
135,2085,IBERCAJA-BANCO,CAZRES2Z
136,2086,BANCO-GRUPO-CAJATRES,CECAESMM086
137,2095,KUTXABANK,BASKES2B
138,2096,CAJA-ESPANA-NVERSIONES,CSPAES2L
139,2100,CAIXABANK,CAIXESBB
140,2103,UNICAJA-BANCO,UCJAES2M
141,2104,CAJA-SALAMANCA-SORIA,CSSOES2S
142,2105,BANCO-CASTILLA-MANCHA,CECAESMM105
143,2108,BANCO-CAJAESPANA-SALAMANCASORIA,CSPAES2L108
144,2401,CAJA-PENSIONES-BARCELONA,CAIXESBB
145,2414,CAJA-ASTURIAS,CECAESMMO48
146,2415,CAJA-EXTREMADURA,CECAESMM099
147,2416,CAJA-CANTABRIA,CECAESMM066
148,2420,IBERCAJA,CAZRES2Z
149,2421,CAJA-GRANADA,CECAESMM031
150,2422,CAJA-MURCIA,CECAESMM043
151,2424,CAJA-BALEARES,CECAESMM051
152,2426,CAJA-RONDA,UCJAES2M
153,2427,CAJA-INMACULADA,CECAESMM427
154,2428,CAJA-CIRCULO-BUROS,CECAESMM428
155,2429,CAJA-BADAJOZ,CECAESMM429
156,2430,BILBAO-BIZKAIA-KUTXA,BASKES2B
157,2431,CAJA-GUIPUZOCA,CGGKES22
158,2432,CAJA-VITORIA-ALAVA,CECAESMM097
159,2433,CECA,CECAESMM
160,3001,CAJA-RURAL-ALMENDRALEJO,BCOEESMM001
161,3005,CAJA-RURAL-CENTRAL,BCOEESMM005
162,3007,CAJA-RURAL-GIJON,BCOEESMM007
163,3008,CAJA-RURAL-NAVARRA,BCOEESMM008
164,3009,CAJA-RURAL-EXTREMADURA,BCOEESMM009
165,3016,CAJA-RURAL-SALAMANCA,BCOEESMM016
166,3017,CAJA-RURAL-SORIA,BCOEESMM017
167,3018,CAJA-RURAL-SANAGUSTIN,BCOEESMM018
168,3020,CAJA-RURAL-UTRERA,BCOEESMM020
169,3023,CAJA-RURAL-GRANADA,BCOEESMM023
170,3025,CAIXA-CREDIT-ENGINYERS,CDENESBB
171,3029,CAJA-CREDITO-PETREL,BCOEESMM029
172,3035,CAJA-LABORAL-POPULAR,CLPEES2M
173,3045,CAIXA-RURAL-ALTEA,BCOEESMM045
174,3058,CAJAS-RURALES-UNIDAS CAJAMAR,CCRIES2A
175,3059,CAJA-RURAL-ASTURIAS,BCOEESMM059
176,3060,CAJA-RURAL-FUENTESEGOVIA,BCOEESMM060
177,3063,CAJA-RURAL-CORDOBA,BCOEESMM063
178,3067,CAJA-RURAL-JAEN,BCOEESMM067
179,3070,CAIXA-RURAL-GALEGA,BCOEESMM070
180,3076,CAJA-RURAL-CAJASIETE,BCOEESMM076
181,3080,CAJA-RURAL-TERUEL,BCOEESMM080
182,3081,CAJA-RURAL-CASTILLALAMANCHA,BCOEESMM081
183,3085,CAJA-RURAL-ZAMORA,BCOEESMM085
184,3089,CAJA-RURAL-BAENA,BCOEESMM089
185,3095,CAJA-RURAL-SANROQUE,BCOEESMM095
186,3096,CAIXA-RURAL-LALCUDIA,BCOEESMM096
187,3098,CAJA-RURAL-NTRASEÑORAROSARIO,BCOEESMM098
188,3102,CAIXA-SANTFERRER-DUIXO,BCOEESMM102
189,3104,CAJA-RURAL-CANETETORRES,BCOEESMM104
190,3105,CAIXA-RURAL-CALLOSA,BCOEESMM105
191,3110,CAJA-RURAL-CATOLICOAGRARIA,BCOESSMM110
192,3111,CAJA-RURAL-LAVALLSISIDRO,BCOEESMM111
193,3112,CAJA-RURAL-SANJOSEBURRIANA,BCOEESMM112
194,3113,CAJA-RURAL-SANJOSEALCORA,BCOEESMM113
195,3115,CAJA-RURAL-MADRESOL,BCOEESMM115
196,3116,CAJA-RURAL-MOTACUERVO,BCOEESMM116
197,3117,CAIXA-RURAL-DALGEMESI,BCOEESMM117
198,3118,CAIXA-RURAL-TORRENT,BCOEESMM118
199,3119,CAJA-RURAL-SANJAIME,BCOEESMM119
200,3121,CAJA-RURAL-CHESTE,BCOEESMM121
201,3123,CAIXA-RURAL-TURIS,BCOEESMM123
202,3127,CAJA-RURAL-CASASIBANEZ,BCOEESMM127
203,3130,CAJA-RURAL-ALMASSORA,BCOEESMM130
204,3134,CAJA-RURAL-SRAESPERANZA,BCOEESMM134
205,3135,CAJA-RURAL-SANJOSENULES,BCOEESMM135
206,3138,CAJA-RURAL-BETXI,BCOEESMM138
207,3140,CAJA-RURAL-GUISSONA,BCOEESMM140
208,3144,CAJA-RURAL-VILLAMALEA,BCOEESMM144
209,3146,CAJA-CREDITO-COOPERATIVO,CCCVESM1
210,3150,CAJA-RURAL-ALBALCOOP,BCOEESMM150
211,3152,CAJA-RURAL-VILLAR,BCOEESMM152
212,3157,CAJA-RURAL-JUNQUERA,BCOEESMM157
213,3159,CAIXA-POPULAR-SDADCOOP,BCOEESMM159
214,3160,CAIXA-RURAL-SANTJOSEPCOOP,BCOEESMM160
215,3162,CAJA-RURAL-BENICARLO,BCOEESMM162
216,3165,CAJA-RURAL-SANISIDROVILAFAMES,BCOEESMM165
217,3166,CAIXA-RURAL-LESCOVESVINROMAS,BCOEESMM166
218,3174,CAIXA-RURAL-VINAROS,BCOEESMM174
219,3179,CAJA-RURAL-ALGINET,BCOEESMM179
